Year,Year05,Cluster,Mgmt,Property,Indicator,Attribute,Value
2004,-1,2,A,KF2A,Soil status,pH,6.233333333
2004,-1,2,A,KF2A,Soil status,OlsenP,48.33333333
2004,-1,2,A,KF2A,Soil status,AMN,58
2004,-1,2,A,KF2A,Soil status,Carbon,7.885
2004,-1,2,A,KF2A,Soil status,Nitrogen,0.676666667
2004,-1,2,A,KF2A,Soil status,BulkDensity,0.701666667
2004,-1,2,B,KF2B,Soil status,pH,6.45
2004,-1,2,B,KF2B,Soil status,OlsenP,42.83333333
2004,-1,2,B,KF2B,Soil status,AMN,47.66666667
2004,-1,2,B,KF2B,Soil status,Carbon,7.363333333
2004,-1,2,B,KF2B,Soil status,Nitrogen,0.63
2004,-1,2,B,KF2B,Soil status,BulkDensity,0.585
2004,-1,2,C,KF2C,Soil status,pH,6.466666667
2004,-1,2,C,KF2C,Soil status,OlsenP,62.16666667
2004,-1,2,C,KF2C,Soil status,AMN,39.66666667
2004,-1,2,C,KF2C,Soil status,Carbon,6.865
2004,-1,2,C,KF2C,Soil status,Nitrogen,0.59
2004,-1,2,C,KF2C,Soil status,BulkDensity,0.581666667
2004,-1,3,A,KF3A,Soil status,pH,6.733333333
2004,-1,3,A,KF3A,Soil status,OlsenP,36.66666667
2004,-1,3,A,KF3A,Soil status,AMN,48.16666667
2004,-1,3,A,KF3A,Soil status,Carbon,5.935
2004,-1,3,A,KF3A,Soil status,Nitrogen,0.485
2004,-1,3,A,KF3A,Soil status,BulkDensity,0.696666667
2004,-1,3,B,KF3B,Soil status,pH,6.8
2004,-1,3,B,KF3B,Soil status,OlsenP,26.16666667
2004,-1,3,B,KF3B,Soil status,AMN,71.83333333
2004,-1,3,B,KF3B,Soil status,Carbon,5.931666667
2004,-1,3,B,KF3B,Soil status,Nitrogen,0.508333333
2004,-1,3,B,KF3B,Soil status,BulkDensity,0.618333333
2004,-1,3,C,KF3C,Soil status,pH,6.383333333
2004,-1,3,C,KF3C,Soil status,OlsenP,30.5
2004,-1,3,C,KF3C,Soil status,AMN,54
2004,-1,3,C,KF3C,Soil status,Carbon,6.285
2004,-1,3,C,KF3C,Soil status,Nitrogen,0.555
2004,-1,3,C,KF3C,Soil status,BulkDensity,0.663333333
2004,-1,4,A,KF4A,Soil status,pH,6.566666667
2004,-1,4,A,KF4A,Soil status,OlsenP,51
2004,-1,4,A,KF4A,Soil status,AMN,61.33333333
2004,-1,4,A,KF4A,Soil status,Carbon,5.87
2004,-1,4,A,KF4A,Soil status,Nitrogen,0.506666667
2004,-1,4,A,KF4A,Soil status,BulkDensity,0.776666667
2004,-1,4,B,KF4B,Soil status,pH,6.783333333
2004,-1,4,B,KF4B,Soil status,OlsenP,33
2004,-1,4,B,KF4B,Soil status,AMN,66.33333333
2004,-1,4,B,KF4B,Soil status,Carbon,6.218333333
2004,-1,4,B,KF4B,Soil status,Nitrogen,0.5
2004,-1,4,B,KF4B,Soil status,BulkDensity,0.708333333
2004,-1,4,C,KF4C,Soil status,pH,6.216666667
2004,-1,4,C,KF4C,Soil status,OlsenP,43.16666667
2004,-1,4,C,KF4C,Soil status,AMN,63.66666667
2004,-1,4,C,KF4C,Soil status,Carbon,6.96
2004,-1,4,C,KF4C,Soil status,Nitrogen,0.58
2004,-1,4,C,KF4C,Soil status,BulkDensity,0.695
2004,-1,5,A,KF5A,Soil status,pH,6.283333333
2004,-1,5,A,KF5A,Soil status,OlsenP,34.83333333
2004,-1,5,A,KF5A,Soil status,AMN,51.16666667
2004,-1,5,A,KF5A,Soil status,Carbon,5.86
2004,-1,5,A,KF5A,Soil status,Nitrogen,0.453333333
2004,-1,5,A,KF5A,Soil status,BulkDensity,0.753333333
2004,-1,5,B,KF5B,Soil status,pH,6.633333333
2004,-1,5,B,KF5B,Soil status,OlsenP,61.66666667
2004,-1,5,B,KF5B,Soil status,AMN,46.66666667
2004,-1,5,B,KF5B,Soil status,Carbon,5.638333333
2004,-1,5,B,KF5B,Soil status,Nitrogen,0.441666667
2004,-1,5,B,KF5B,Soil status,BulkDensity,0.676666667
2004,-1,5,C,KF5C,Soil status,pH,6.516666667
2004,-1,5,C,KF5C,Soil status,OlsenP,121
2004,-1,5,C,KF5C,Soil status,AMN,50
2004,-1,5,C,KF5C,Soil status,Carbon,5.556666667
2004,-1,5,C,KF5C,Soil status,Nitrogen,0.446666667
2004,-1,5,C,KF5C,Soil status,BulkDensity,0.718333333
2004,-1,6,A,KF6A,Soil status,pH,6.633333333
2004,-1,6,A,KF6A,Soil status,OlsenP,63
2004,-1,6,A,KF6A,Soil status,AMN,44.16666667
2004,-1,6,A,KF6A,Soil status,Carbon,6.21
2004,-1,6,A,KF6A,Soil status,Nitrogen,0.47
2004,-1,6,A,KF6A,Soil status,BulkDensity,0.74
2004,-1,6,B,KF6B,Soil status,pH,6.683333333
2004,-1,6,B,KF6B,Soil status,OlsenP,23.66666667
2004,-1,6,B,KF6B,Soil status,AMN,39.83333333
2004,-1,6,B,KF6B,Soil status,Carbon,5.355
2004,-1,6,B,KF6B,Soil status,Nitrogen,0.395
2004,-1,6,B,KF6B,Soil status,BulkDensity,0.686666667
2004,-1,6,C,KF6C,Soil status,pH,6.6
2004,-1,6,C,KF6C,Soil status,OlsenP,65.33333333
2004,-1,6,C,KF6C,Soil status,AMN,58
2004,-1,6,C,KF6C,Soil status,Carbon,7.548333333
2004,-1,6,C,KF6C,Soil status,Nitrogen,0.6
2004,-1,6,C,KF6C,Soil status,BulkDensity,0.745
2004,-1,7,A,KF7A,Soil status,pH,6.583333333
2004,-1,7,A,KF7A,Soil status,OlsenP,69.33333333
2004,-1,7,A,KF7A,Soil status,AMN,56.66666667
2004,-1,7,A,KF7A,Soil status,Carbon,4.391666667
2004,-1,7,A,KF7A,Soil status,Nitrogen,0.363333333
2004,-1,7,A,KF7A,Soil status,BulkDensity,0.883333333
2004,-1,7,B,KF7B,Soil status,pH,6.516666667
2004,-1,7,B,KF7B,Soil status,OlsenP,51
2004,-1,7,B,KF7B,Soil status,AMN,58.33333333
2004,-1,7,B,KF7B,Soil status,Carbon,5.701666667
2004,-1,7,B,KF7B,Soil status,Nitrogen,0.483333333
2004,-1,7,B,KF7B,Soil status,BulkDensity,0.725
2004,-1,7,C,KF7C,Soil status,pH,6.483333333
2004,-1,7,C,KF7C,Soil status,OlsenP,48
2004,-1,7,C,KF7C,Soil status,AMN,64.83333333
2004,-1,7,C,KF7C,Soil status,Carbon,5.235
2004,-1,7,C,KF7C,Soil status,Nitrogen,0.453333333
2004,-1,7,C,KF7C,Soil status,BulkDensity,0.855
2004,-1,8,A,KF8A,Soil status,pH,6.583333333
2004,-1,8,A,KF8A,Soil status,OlsenP,51.83333333
2004,-1,8,A,KF8A,Soil status,AMN,54
2004,-1,8,A,KF8A,Soil status,Carbon,4.743333333
2004,-1,8,A,KF8A,Soil status,Nitrogen,0.365
2004,-1,8,A,KF8A,Soil status,BulkDensity,0.848333333
2004,-1,8,B,KF8B,Soil status,pH,6.7
2004,-1,8,B,KF8B,Soil status,OlsenP,56.5
2004,-1,8,B,KF8B,Soil status,AMN,69.5
2004,-1,8,B,KF8B,Soil status,Carbon,5.44
2004,-1,8,B,KF8B,Soil status,Nitrogen,0.423333333
2004,-1,8,B,KF8B,Soil status,BulkDensity,0.778333333
2004,-1,8,C,KF8C,Soil status,pH,6.416666667
2004,-1,8,C,KF8C,Soil status,OlsenP,69
2004,-1,8,C,KF8C,Soil status,AMN,60.66666667
2004,-1,8,C,KF8C,Soil status,Carbon,5.356666667
2004,-1,8,C,KF8C,Soil status,Nitrogen,0.418333333
2004,-1,8,C,KF8C,Soil status,BulkDensity,0.773333333
2004,-1,9,A,KF9A,Soil status,pH,6.6
2004,-1,9,A,KF9A,Soil status,OlsenP,67.66666667
2004,-1,9,A,KF9A,Soil status,AMN,65
2004,-1,9,A,KF9A,Soil status,Carbon,4.193333333
2004,-1,9,A,KF9A,Soil status,Nitrogen,0.336666667
2004,-1,9,A,KF9A,Soil status,BulkDensity,0.856666667
2004,-1,9,B,KF9B,Soil status,pH,6.8
2004,-1,9,B,KF9B,Soil status,OlsenP,38.33333333
2004,-1,9,B,KF9B,Soil status,AMN,86
2004,-1,9,B,KF9B,Soil status,Carbon,5.36
2004,-1,9,B,KF9B,Soil status,Nitrogen,0.445
2004,-1,9,B,KF9B,Soil status,BulkDensity,0.783333333
2004,-1,9,C,KF9C,Soil status,pH,6.566666667
2004,-1,9,C,KF9C,Soil status,OlsenP,43.66666667
2004,-1,9,C,KF9C,Soil status,AMN,42
2004,-1,9,C,KF9C,Soil status,Carbon,3.94
2004,-1,9,C,KF9C,Soil status,Nitrogen,0.335
2004,-1,9,C,KF9C,Soil status,BulkDensity,0.786666667
2004,-1,10,A,KF10A,Soil status,pH,6.65
2004,-1,10,A,KF10A,Soil status,OlsenP,25.66666667
2004,-1,10,A,KF10A,Soil status,AMN,68
2004,-1,10,A,KF10A,Soil status,Carbon,3.978333333
2004,-1,10,A,KF10A,Soil status,Nitrogen,0.385
2004,-1,10,A,KF10A,Soil status,BulkDensity,0.858333333
2004,-1,10,B,KF10B,Soil status,pH,6.6
2004,-1,10,B,KF10B,Soil status,OlsenP,31.16666667
2004,-1,10,B,KF10B,Soil status,AMN,79.16666667
2004,-1,10,B,KF10B,Soil status,Carbon,4.899833333
2004,-1,10,B,KF10B,Soil status,Nitrogen,0.4237
2004,-1,10,B,KF10B,Soil status,BulkDensity,0.773333333
2004,-1,10,C,KF10C,Soil status,pH,5.866666667
2004,-1,10,C,KF10C,Soil status,OlsenP,52.5
2004,-1,10,C,KF10C,Soil status,AMN,56.66666667
2004,-1,10,C,KF10C,Soil status,Carbon,4.648333333
2004,-1,10,C,KF10C,Soil status,Nitrogen,0.411666667
2004,-1,10,C,KF10C,Soil status,BulkDensity,0.811666667
2004,-1,11,A,KF11A,Soil status,pH,6.716666667
